w q e w q e w q e w q e w w q e w q e w q e w q e w q e w q
g g d g f g g f d g f d g g g d g f g g f d g f d g g f d g
g s d g g x g f g g f c g g s d g g x g f g g f c g g f c g
g g d g g d g g d s g d g g g d g g d g g d s g d g s g d g
z g g g g z g g d g g x g z g g g g z g g d g g x g d g g x 
g g g g g d g g d g f g g g g g g g d g g d g f g g g f g g
g f d s f d g f g g f d g g f d s f d g f g g f d g g f d g
g a x g f g g g g s z g g g a x g f g g g g s z g g s z g g
g f g g f g g f d g f d g g f g g f g g f d g f d g d g f d 
g s d g f d g f d g f d g g s d g f d g f d g f d g d g f d 
g a x g f g g g g s z g g g a x g f g g g g s z g g s z g g
g g d g f g g f d g f d g g g d g f g g f d g f d g g f d g
g s d g g x g f g g f c g g s d g g x g f g g f c g g f c g
g g d g g d g g d s g d g g g d g g d g g d s g d g s g d g
z g g g g z g g d g g x g z g g g g z g g d g g x g g g x g
g g g g g d g g d g f g g g g g g g d g g d g f g g d g f g 
g s d g g x g f g g f c g g s d g g x g f g g f c g g f c g
