w r r w r r w w r w r r w w r r w r r w w r w r r w w r r w
g g d g g g g g g g g g g g g d g g g g g g g g g g g g g g 
g s d g g g g g g g g g g g s d g g g g g g g g g g g g g g 
g g d g g d g g g s g d g g g d g g d g g g s g d g g g g g 
g g g g g g g g g g g g g g g g g g g g g g g g g g g g g g
g g g g g g g g g g g g g g g g g g g g g g g g g g g g g g
g g d s g g g g g g g d g g g d s g g g g g g g d g g g g g
g g g g g g g g g s g g g g g d s g g g g g g g d g g g g g
g f g g g g g g g g g d g g f g g g g g g g g g d g g g g g
g s d g g d g g g g f d g g s d g g d g g g g f d g g g g g
g g g g g g g g g g g g g g g g g g g g g g g g g g g g g g
g g g g g g g g g g g g g g g g g g g g g g g g g g g g g g
g g d s g g g g g g g d g g g d s g g g g g g g d g g g g g
g g g g g g g g g s g g g g g d s g g g g g g g d g g g g g
g g g g g g g g g g g g g g g g g g g g g g g g g g g g g g
g g g g g g g g g g g g g g g g g g g g g g g g g g g g g g
g g d s g g g g g g g d g g g d s g g g g g g g d g g g g g
